timestamp_sec,packet_size_bytes,delay_us
0.000001,562.7,0.2340
0.000001,515.0,5.3898
0.000006,1423.1,3.6479
0.000013,1165.8,1.4664
0.000021,255.1,1.2695
0.000022,2978.3,0.8786
0.000023,778.2,0.7370
0.000029,547.2,1.8509
0.000033,170.8,0.4751
0.000041,404.4,2.1170
0.000042,658.3,0.9702
0.000044,7917.9,3.0571
0.000046,1322.3,1.1058
0.000051,710.7,3.4296
0.000057,1246.6,6.2240
0.000060,1861.8,6.1710
0.000066,445.7,6.0774
0.000067,214.3,4.7947
0.000074,9000.0,0.4050
0.000085,9000.0,1.1310
0.000086,674.4,0.3086
0.000086,1411.3,2.8153
0.000090,608.1,0.2709
0.000097,6922.6,1.9524
0.000100,191.8,0.6646
0.000106,1730.5,0.2741
0.000114,615.0,1.1110
0.000115,631.6,6.3312
0.000116,9000.0,6.0526
0.000118,7155.4,7.0124
0.000124,613.3,2.5684
0.000125,391.3,1.3217
0.000126,1614.9,1.0542
0.000129,885.0,7.1471
0.000133,1598.5,6.8513
0.000135,4384.4,5.8696
0.000136,173.2,9.6380
0.000137,380.5,5.0891
0.000138,255.8,3.3585
0.000142,1564.0,1.2582
0.000144,2800.6,0.9671
0.000147,224.1,0.8937
0.000152,499.1,4.4727
0.000152,1517.6,0.6497
0.000152,864.9,1.6511
0.000154,3942.5,0.7237
0.000154,2045.4,0.0833
0.000154,2559.1,0.1461
0.000160,759.8,0.9281
0.000164,620.1,1.8644
0.000164,669.1,7.2043
0.000168,1265.8,8.1816
0.000168,6559.1,8.3814
0.000169,1487.4,7.4709
0.000170,1066.0,8.4328
0.000170,1902.7,3.0577
0.000174,1364.1,2.9648
0.000174,818.0,2.8626
0.000175,1006.9,0.6287
0.000176,885.0,0.3094
0.000177,387.5,0.9923
0.000179,2047.1,3.9653
0.000186,854.0,3.9017
0.000186,763.4,1.0919
0.000190,1168.8,0.6882
0.000190,4221.9,2.2573
0.000193,1097.9,1.3786
0.000202,946.6,0.4775
0.000210,903.8,0.9491
0.000210,1450.3,3.9731
0.000216,316.9,0.7292
0.000218,1132.9,1.8064
0.000223,1453.5,0.2194
0.000225,1321.2,2.7576
0.000228,1750.9,1.4791
0.000228,546.3,0.4113
0.000241,275.8,0.7540
0.000242,345.5,0.7175
0.000246,1080.2,2.2722
0.000249,1037.1,0.8799
0.000265,1532.4,0.3615
0.000265,2616.4,7.2000
0.000266,829.9,7.0263
0.000267,966.8,7.5503
0.000269,308.8,7.1132
0.000270,3321.8,4.9602
0.000271,2398.0,1.3959
0.000275,1059.8,0.5353
0.000282,3156.3,0.6214
0.000287,871.0,0.6030
0.000290,1173.4,0.7868
0.000292,903.1,2.1130
0.000300,1496.4,0.9649
0.000306,337.8,1.7257
0.000311,668.3,0.8488
0.000311,3435.6,1.8197
0.000314,3630.9,0.6807
0.000316,1791.4,1.6795
0.000323,1296.9,0.8471
0.000325,2266.4,7.1777
0.000340,1211.6,4.5774
0.000347,436.8,3.6681
0.000348,379.2,4.6985
0.000348,1695.6,0.8110
0.000354,938.5,1.8595
0.000355,1714.1,0.3102
0.000357,1963.6,0.7024
0.000363,186.4,1.3948
0.000366,433.2,1.6261
0.000367,2531.0,2.6697
0.000368,405.9,3.7834
0.000370,1369.4,3.5927
0.000388,1403.7,0.3950
0.000395,2762.8,1.8021
0.000399,1573.9,5.1894
0.000399,555.6,5.0203
0.000402,1114.0,0.9334
0.000404,2341.9,2.9575
0.000404,5330.4,1.1959
0.000408,486.4,0.4485
0.000410,814.7,0.7414
0.000415,9000.0,0.6166
0.000418,2144.0,0.3313
0.000418,1521.4,2.8088
0.000418,1428.0,2.3111
0.000421,506.5,0.5860
0.000425,1605.6,0.4865
0.000427,769.5,0.7226
0.000427,1485.2,0.3294
0.000428,312.3,0.8409
0.000429,806.8,2.2605
0.000433,975.6,2.3647
0.000434,573.5,1.6373
0.000443,939.1,0.7996
0.000447,5645.4,0.1468
0.000448,1649.3,0.5009
0.000450,724.9,1.8514
0.000455,579.4,2.2400
0.000458,1084.7,0.5134
0.000469,1034.4,0.8021
0.000476,1264.8,1.8196
0.000484,1999.1,0.1591
0.000486,693.6,1.4316
0.000489,1865.0,0.5601
0.000493,94.7,0.6173
0.000497,1268.2,1.1756
0.000498,1616.0,0.6015
0.000502,427.4,0.4807
0.000503,1537.4,7.2000
0.000504,291.5,10.1996
0.000505,1550.0,8.7286
0.000506,346.1,9.4931
0.000508,108.3,7.7681
0.000513,3099.9,8.5458
0.000516,1421.1,6.8056
0.000526,444.7,8.8374
0.000532,5247.3,1.9382
0.000533,2139.7,0.6053
0.000533,1041.2,2.9404
0.000534,1619.0,4.3908
0.000534,2070.6,4.7232
0.000539,356.1,1.1260
0.000540,1253.3,1.4921
0.000541,4800.5,2.3022
0.000544,957.9,1.4445
0.000546,660.9,1.2231
0.000552,298.9,2.2106
0.000555,6993.9,0.6874
0.000556,1499.7,2.8530
0.000564,419.2,0.9146
0.000564,3108.9,1.7791
0.000565,743.3,0.2395
0.000566,420.0,0.9343
0.000566,515.2,1.0580
0.000575,378.8,1.7358
0.000575,2151.5,0.8112
0.000575,1895.2,0.2299
0.000578,4559.3,0.2110
