timestamp_sec,packet_size_bytes,delay_us
0.000005,632.5,0.2266
0.000005,168.2,0.7107
0.000006,399.7,0.8745
0.000009,2123.8,0.3944
0.000016,1035.6,2.1822
0.000021,1475.2,2.0611
0.000024,1741.0,1.3291
0.000031,2174.3,2.8920
0.000031,5039.6,0.9713
0.000037,366.0,0.6703
0.000042,1059.5,3.5434
0.000046,9000.0,5.9617
0.000046,1765.8,4.3803
0.000048,4998.2,6.4245
0.000056,1134.2,6.4679
0.000058,1917.2,9.7262
0.000065,190.5,9.1106
0.000066,282.9,2.5543
0.000068,823.1,1.5404
0.000069,2198.3,0.3852
0.000070,1108.7,0.3370
0.000080,1519.8,0.1512
0.000085,818.9,4.3438
0.000091,217.1,4.1252
0.000094,329.4,0.3044
0.000094,585.8,0.6841
0.000098,1406.2,7.2000
0.000099,408.0,8.4332
0.000099,718.5,7.8132
0.000102,808.0,3.9999
0.000107,622.5,1.5132
0.000111,1460.9,2.5086
0.000114,653.6,2.6202
0.000116,1308.0,1.6705
0.000123,1796.3,4.2579
0.000126,4142.8,2.6363
0.000128,1183.0,2.7461
0.000129,4424.9,0.9167
0.000135,249.8,0.5862
0.000137,873.8,2.6186
0.000137,1251.6,4.3408
0.000138,529.5,4.0212
0.000138,792.1,0.4438
0.000139,849.3,0.4156
0.000139,1704.8,2.8541
0.000140,3818.1,2.7152
0.000148,1107.1,3.2052
0.000153,1051.7,3.0486
0.000156,73.9,4.0309
0.000162,5188.3,1.8034
0.000164,1328.8,3.1058
0.000164,677.9,0.3020
0.000167,1419.5,3.9620
0.000167,3890.0,5.7123
0.000169,441.2,10.9097
0.000170,1139.5,9.1058
0.000175,423.2,7.8714
0.000178,1255.5,6.2522
0.000179,804.2,5.5925
0.000183,214.4,2.7949
0.000187,1517.2,0.9693
0.000190,452.6,0.3246
0.000193,731.3,0.4106
0.000195,2142.8,2.6837
0.000197,1158.9,0.7116
0.000198,1474.3,7.2000
0.000200,1437.9,4.5618
0.000200,1405.9,7.9177
0.000207,233.1,8.0333
0.000208,955.1,9.5843
0.000215,1033.0,9.1903
0.000226,245.0,9.7429
0.000227,854.7,2.2243
0.000233,2950.1,1.5091
0.000236,4584.4,3.4847
0.000236,4100.0,1.4067
0.000237,1293.9,0.6930
0.000239,1120.1,1.0495
0.000241,1260.6,1.0079
0.000242,448.3,2.5978
0.000243,2787.2,1.9802
0.000243,846.5,9.1518
0.000245,5426.5,11.6620
0.000258,1159.1,8.6903
0.000263,615.8,7.9615
0.000264,610.9,4.5223
0.000265,558.4,4.1302
0.000266,405.0,3.4114
0.000267,3091.4,3.2954
0.000269,1662.2,2.4265
0.000269,1990.3,0.2671
0.000270,741.4,0.5567
0.000270,2244.2,2.4872
0.000270,2186.6,1.9287
0.000271,361.5,0.7983
0.000272,2411.0,0.8619
0.000274,2628.9,2.6788
0.000275,588.1,0.6055
0.000279,1053.5,1.1669
0.000281,2062.8,3.0880
0.000282,1095.7,2.3880
0.000284,1137.8,0.6698
0.000285,3714.8,1.3421
0.000285,330.0,1.8869
0.000287,9000.0,5.0484
0.000287,979.7,4.4283
0.000290,739.6,4.3024
0.000300,103.9,4.0115
0.000300,773.4,2.9053
0.000301,3495.2,3.2615
0.000302,466.4,3.3410
0.000303,3514.2,1.8789
0.000308,423.8,1.6307
0.000309,2472.9,4.1828
0.000310,1179.3,3.9645
0.000310,1138.8,0.9199
0.000312,4805.8,1.2877
0.000313,1502.9,0.5148
0.000316,505.0,0.8045
0.000318,1105.1,0.5281
0.000322,1249.6,7.2000
0.000323,1598.6,6.4326
0.000323,157.6,5.2215
0.000325,5013.4,4.4476
0.000327,797.7,0.3743
0.000333,1512.5,1.6974
0.000333,1190.1,1.8775
0.000334,1121.9,0.4173
0.000337,1982.3,0.9281
0.000337,2194.1,1.2854
0.000342,362.4,0.4188
0.000342,5271.9,0.7182
0.000343,1637.9,1.7502
0.000345,6707.6,0.1852
0.000349,2148.1,1.4449
0.000352,599.9,1.5244
0.000353,1058.4,1.7164
0.000359,224.6,3.4785
0.000361,444.0,0.3618
0.000365,721.1,0.2856
0.000367,219.9,7.2000
0.000367,759.9,9.6386
0.000369,631.5,5.3044
0.000373,1584.6,0.3636
0.000374,3952.5,2.5144
0.000375,2573.2,2.8227
0.000376,1338.2,2.5734
0.000377,1330.3,1.7301
0.000393,792.3,0.5937
0.000396,1885.1,1.0251
0.000397,3011.5,6.0525
0.000398,2106.6,6.4592
0.000399,128.4,7.2920
0.000400,1400.8,4.5628
0.000402,2701.4,0.8927
0.000407,1826.9,0.2807
0.000409,289.5,0.5644
0.000415,3266.6,5.4917
0.000415,779.7,3.1757
0.000419,2773.8,3.0207
0.000422,1960.3,1.1597
0.000423,821.3,0.3937
0.000423,914.3,1.0272
0.000425,2351.5,0.9488
0.000429,772.0,2.0646
0.000433,2585.8,0.4137
0.000435,298.3,0.4535
0.000440,1768.5,2.1091
0.000447,8660.3,4.2229
0.000451,1268.5,0.3032
0.000452,1912.4,0.8120
0.000454,3184.5,2.7398
0.000456,321.3,2.7587
0.000456,5136.4,1.5583
0.000460,1169.1,0.8086
0.000461,249.2,0.4981
0.000464,308.5,0.9076
0.000465,3677.6,0.2373
0.000466,494.9,2.8540
0.000467,191.2,0.3479
